_id,segment_id,date,weekday,LOS,s_node_id,e_node_id,length,street_id,street_level,street_type,long_node,lat_node,time_x,month,temperature_2m,relative_humidity_2m,apparent_temperature,rain,weather_code,cloud_cover,season
498,2427,8/3/2020,0,C,5772301813,3789045827,6,32577449,4,unclassified,106.6536292,10.7796398,0:00,8,25.5,93,29.9,0.4,51,31,rain
513,2428,8/3/2020,0,E,3789045827,5772301813,6,32577449,4,unclassified,106.6536705,10.7796824,0:00,8,25.5,93,29.9,0.4,51,31,rain
515,2429,8/3/2020,0,C,3789045827,3789057863,1,32577449,4,unclassified,106.6536705,10.7796824,0:00,8,25.5,93,29.9,0.4,51,31,rain
524,2430,8/3/2020,0,C,3789057863,3789045827,1,32577449,4,unclassified,106.6536833,10.779694,0:00,8,25.5,93,29.9,0.4,51,31,rain
526,2431,8/3/2020,0,C,3789057863,3789057869,14,32577449,4,unclassified,106.6536833,10.779694,0:00,8,25.5,93,29.9,0.4,51,31,rain
530,2432,8/3/2020,0,C,3789057869,3789057863,14,32577449,4,unclassified,106.6537843,10.7797845,0:00,8,25.5,93,29.9,0.4,51,31,rain
532,2433,8/3/2020,0,E,3789057869,5772301814,32,32577449,4,unclassified,106.6537843,10.7797845,0:00,8,25.5,93,29.9,0.4,51,31,rain
540,2434,8/3/2020,0,D,5772301814,3789057869,32,32577449,4,unclassified,106.6539968,10.7799875,0:00,8,25.5,93,29.9,0.4,51,31,rain
543,2435,8/3/2020,0,D,5772301814,3727819086,36,32577449,4,unclassified,106.6539968,10.7799875,0:00,8,25.5,93,29.9,0.4,51,31,rain
551,2436,8/3/2020,0,D,3727819086,5772301814,36,32577449,4,unclassified,106.654269,10.7801804,0:00,8,25.5,93,29.9,0.4,51,31,rain
553,2437,8/3/2020,0,E,3727819086,5772301816,30,32577449,4,unclassified,106.654269,10.7801804,0:00,8,25.5,93,29.9,0.4,51,31,rain
569,2438,8/3/2020,0,D,5772301816,3727819086,30,32577449,4,unclassified,106.6545082,10.7803199,0:00,8,25.5,93,29.9,0.4,51,31,rain
573,2439,8/3/2020,0,D,5772301816,3735830662,29,32577449,4,unclassified,106.6545082,10.7803199,0:00,8,25.5,93,29.9,0.4,51,31,rain
591,2440,8/3/2020,0,D,3735830662,5772301816,29,32577449,4,unclassified,106.6547735,10.7803895,0:00,8,25.5,93,29.9,0.4,51,31,rain
594,2441,8/3/2020,0,D,3735830662,5772301815,55,32577449,4,unclassified,106.6547735,10.7803895,0:00,8,25.5,93,29.9,0.4,51,31,rain
611,2442,8/3/2020,0,D,5772301815,3735830662,55,32577449,4,unclassified,106.6552592,10.7805208,0:00,8,25.5,93,29.9,0.4,51,31,rain
615,2443,8/3/2020,0,D,5093747408,5778236991,7,32577460,4,tertiary,106.6288442,10.7821969,0:00,8,25.5,93,29.9,0.4,51,31,rain
697,2832,8/3/2020,0,C,3150110710,366466460,12,32577683,2,primary,106.6690295,10.7590308,0:00,8,25.5,93,29.9,0.4,51,31,rain
700,2833,8/3/2020,0,C,366466460,366403515,86,32577683,2,primary,106.6690531,10.7589175,0:00,8,25.5,93,29.9,0.4,51,31,rain
702,2834,8/3/2020,0,E,366403515,4620534189,64,32577683,2,primary,106.6692245,10.7581623,0:00,8,25.5,93,29.9,0.4,51,31,rain
704,2835,8/3/2020,0,E,4620534189,4620515587,23,32577683,2,primary,106.6693517,10.7575959,0:00,8,25.5,93,29.9,0.4,51,31,rain
706,2836,8/3/2020,0,C,4620515587,3160545657,22,32577683,2,primary,106.6693988,10.7573861,0:00,8,25.5,93,29.9,0.4,51,31,rain
708,2837,8/3/2020,0,E,3160545657,4631390892,47,32577683,2,primary,106.6694433,10.7571879,0:00,8,25.5,93,29.9,0.4,51,31,rain
711,2838,8/3/2020,0,D,4631390892,5802993758,5,32577683,2,primary,106.6695379,10.7567666,0:00,8,25.5,93,29.9,0.4,51,31,rain
